icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,epoch_time,date,time
a51ac6,EJA428  ,United States,1659915688.0,1659915688,-91.2366,41.5391,3528.06,False,188.29,81.52,-10.08,,3733.8,,False,0,1659915689,2022-08-07,19:41:29
a99af8,N718NG  ,United States,1659915689.0,1659915689,-97.5939,30.1974,822.96,False,41.48,60.26,3.58,,876.3,,False,0,1659915689,2022-08-07,19:41:29
a94156,DAL633  ,United States,1659915679.0,1659915687,-79.6313,9.206,10058.4,False,243.49,170.64,0.0,,10683.24,,False,0,1659915689,2022-08-07,19:41:29
a3ef1b,UAL1542 ,United States,1659915689.0,1659915689,-122.1025,38.4419,6751.32,False,222.89,4.37,9.43,,7101.84,3657,False,0,1659915689,2022-08-07,19:41:29
c02494,WJA381  ,Canada,1659915689.0,1659915689,-68.3411,45.9385,11582.4,False,210.26,262.27,0.33,,12222.48,,False,0,1659915689,2022-08-07,19:41:29
a9b78e,EJA725  ,United States,1659915688.0,1659915689,-105.3934,35.0716,13098.78,False,240.4,254.36,0.0,,13845.54,3167,False,0,1659915689,2022-08-07,19:41:29
88596d,TVJ300  ,Thailand,1659915689.0,1659915689,100.2336,13.1682,5036.82,False,194.03,218.54,7.15,,5250.18,,False,0,1659915689,2022-08-07,19:41:29
781dbe,CSS7304 ,China,1659915381.0,1659915492,113.7184,22.9021,1074.42,False,90.29,150.66,0.33,,1074.42,,False,0,1659915689,2022-08-07,19:41:29
40655b,EXS13C  ,United Kingdom,1659915689.0,1659915689,-1.4041,51.4951,5189.22,False,165.01,350.13,-8.78,,5501.64,5340,False,0,1659915689,2022-08-07,19:41:29
40655d,VIR76X  ,United Kingdom,1659915688.0,1659915689,-77.6116,35.422,11887.2,False,231.75,11.78,0.0,,12565.38,7302,False,0,1659915689,2022-08-07,19:41:29
a116ef,N17BB   ,United States,1659915684.0,1659915689,-83.5501,34.9834,5951.22,False,167.21,359.29,0.0,,6568.44,1104,False,0,1659915689,2022-08-07,19:41:29
aaf804,SCX3075 ,United States,1659915689.0,1659915689,-80.8903,36.1207,11582.4,False,250.12,191.75,0.0,,12275.82,,False,0,1659915689,2022-08-07,19:41:29
a69192,NKS1362 ,United States,1659915688.0,1659915689,-98.5441,33.8179,10066.02,False,240.49,92.57,-0.33,,10713.72,,False,0,1659915689,2022-08-07,19:41:29
e8045c,LPE2119 ,Chile,,1659915688,,,,False,262.02,131.58,0.0,,,,False,0,1659915689,2022-08-07,19:41:29
400efe,EZY37QT ,United Kingdom,1659915689.0,1659915689,3.7952,48.0258,10965.18,False,222.5,334.38,0.0,,11430.0,4074,False,0,1659915689,2022-08-07,19:41:29
a0f6b9,SKW3977 ,United States,1659915618.0,1659915682,-94.8582,35.0923,10058.4,False,230.99,89.62,-0.33,,11308.08,3463,False,0,1659915689,2022-08-07,19:41:29
c07f02,WJA170  ,Canada,1659915665.0,1659915665,-114.4331,53.2796,4693.92,False,193.63,87.41,-8.78,,5356.86,,False,0,1659915689,2022-08-07,19:41:29
40787b,TOM053  ,United Kingdom,1659915598.0,1659915598,-64.5318,33.3315,10972.8,False,247.02,44.24,-0.33,,11605.26,,False,0,1659915689,2022-08-07,19:41:29
400efc,EZY93TB ,United Kingdom,1659915688.0,1659915689,0.0948,45.5549,11574.78,False,237.99,357.03,6.18,,12123.42,5543,False,0,1659915689,2022-08-07,19:41:29
4bb070,THY9DG  ,Turkey,1659915688.0,1659915689,5.1741,36.6808,10668.0,False,247.08,85.82,0.0,,11292.84,,False,0,1659915689,2022-08-07,19:41:29
a249d0,N2468Y  ,United States,1659915689.0,1659915689,-122.1161,47.3245,1531.62,False,61.22,180.48,0.0,,1600.2,0363,False,0,1659915689,2022-08-07,19:41:29
40787a,TOM1PH  ,United Kingdom,1659915688.0,1659915689,1.2536,50.2353,6995.16,False,222.37,318.75,-12.03,,7360.92,5363,False,0,1659915689,2022-08-07,19:41:29
